Field=#~Integer~#~50|Field=Comment~String~Comment~292|Field=Cost~String~Cost~292|Field=Description~String~Description~292|Field=Designator~String~Designator~292|Field=Footprint~String~Footprint~292|Field=LibRef~String~LibRef~292|Field=MF~String~MF~292|Field=MFPN~String~MFPN~292|Field=Quantity~Integer~Quantity~292|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~JDB-001.PrjPcb|ReportField=ProjectFullPath~C:\Users\sdand\Desktop\jewelbots\JDB-001\JDB-001.PrjPcb|ReportField=Title~Bill of Materials For Project [JDB-001.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~85|ReportField=ReportTime~11:36:27 AM|ReportField=ReportDate~6/13/2016|ReportField=ReportDateTime~6/13/2016 11:36:27 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 Eldridge St.|ReportField=Address2~5th Floor|ReportField=Address3~New York, NY 10002|ReportField=Company~Jewelbots, Inc.|ReportField=Engineer~S. Dandona|ReportField=PCB_partnumber~JDB-001|ReportField=PCB_Rev~1|ReportField=PCB_Title~Dev. Board|ReportField=PCBA_PartNumber~A|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~6/13/2016|ReportField=CurrentTime~11:13:12 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\sdand\Desktop\jewelbots\JDB-001\Schematic\Top.SchDoc|ReportField=DocumentName~Top.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~6/13/2016|ReportField=Organization~|ReportField=ProjectName~JDB-001.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~3|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~JDB-001.PrjPcb|ReportField=DataSourceFullPath~C:\Users\sdand\Desktop\jewelbots\JDB-001\JDB-001.PrjPcb
28|Part Number10kDNP|0.00828|RES SMD 10K OHM 5% 1/20W 0201|R104, R105, R200, R301, R306|RES 0201 HD|Res 0201 10k 5%|Rohm Semiconductor|MCR006YRTJ103|5
29|Part Number82kDNP|0.01049|RES SMD 82K OHM 1% 1/20W 0201|R201|RES 0201 HD|Res 0201 Generic|Panasonic Electronic Components|ERJ-1GEF8202C|1
30|Part Number30.1kDNP|0.01049|RES SMD 30.1K OHM 1% 1/20W 0201|R202|RES 0201 HD|Res 0201 Generic|Panasonic Electronic Components|ERJ-1GEF3012C|1
31|Part Number4.12kDNP|0.01049|RES SMD 4.12K OHM 1% 1/20W 0201|R300|RES 0201 HD|Res 0201 Generic|Panasonic Electronic Components|ERJ-1GEF4121C|1
32|Part Number330DNP|0.00834|RES SMD 330 OHM 5% 1/20W 0201|R303|RES 0201 HD|Res 0201 330R 5%|Rohm Semiconductor|MCR006YRTJ331|1
33|Part Number150kDNP|0.01102|RES SMD 150K OHM 1% 1/20W 0201|R304|RES 0201 HD|Res 0201 150k 1%|Rohm Semiconductor|MCR006YRTF1503|1
34|Part Number301kDNP|0.01049|RES SMD 301K OHM 1% 1/20W 0201|R305|RES 0201 HD|Res 0201 301k 1%|Panasonic Electronic Components|ERJ-1GEF3013C|1
35|Part Number2.2kDNP|0.00787|RES SMD 2.2K OHM 5% 1/20W 0201|R307|RES 0201 HD|Res 0201 2.2k 5%|Panasonic Electronic Components|ERJ-1GEJ222C|1
36|Part Number0DNP|0.00198|RES SMD 0.0OHM JUMPER 1/16W 0402|R308|RES 0402|Res 0402 0R Jumper|Samsung Electro-Mechanics America, Inc.|RC1005J000CS|1
37|Part Number27DNP|0.00338|RES SMD 27 OHM 5% 1/10W 0603|R309, R310|RES 0603 HD|Res 0603 27R 5%|Rohm Semiconductor|MCR03ERTJ270|2
38|Part NumberDNPDNP|0|Resistor, 0201, DNP|R311, R312|RES 0201 HD|Res 0201 Generic|N/A|DNP|2
39|Res Thermal|0.08514|THERMISTOR 10K OHM NTC 0201 SMD|RT300|RES 0201 HD|Therm 0201 10k NTC|Murata Electronics North America|NCP03XH103J05RL|1
40|Value|0.201|Tactile Switches 6.0x6.0x2.5mm 160gf|SW100, SW101|ALPS_SKHUxxx010_WO_GND|SW-PB|ALPS|SKHUALE010|2
41|NRF51822-QFAC-R|2.33310|IC SOC 2.4GHZ 256K FLASH 48QFN|U100|QFN40P600X600X90-48N|nRF51x22_QFAx|Nordic Semiconductor ASA|NRF51822-QFAC-R|1
42|nRF51822 Balun RF filter|0.66000|NORDIC NRF51 BALUN FILTER|U101|2450BM14E0003|nRF51822 Balun RF filter|Johanson Technology Inc.|2450BM14E0003T|1
43|Part Number|1.35000|IC ERM/LRA HAPTIC DRIVER 9DSBGA|U200|BGA0.5P3x3-9Pin|DRV2604L|Texas Instruments|DRV2604LYZFR|1
44|Part NumberDNP|1.17000|IC LED DRIVER RGLTR DIM 36USMD|U201|BGA0.5P6x6-36Pin|LP55281TL|Texas Instruments|LP55281TL/NOPB|1
45|Part NumberDNP|2.13750|PMU for IC PMU 2CH CONV/LDO 25DSBGA|U300|BGA0.4P5x5-25Pin|TPS65720|Texas Instruments|TPS65720YFFT|1
46|Part Number|0.67800|IC LITHIUM BATT PROTECT 6-SON|U301|SON0.5P-6Pin|BQ29700|Texas Instruments|BQ29700DSET|1
47|Part Number|1.52950|IC USB SERIAL BASIC UART 16QFN|U302|QFN0.65P4x4-16Pin_W-Pad|FT230XQ|FTDI, Future Technology Devices International Ltd|FT230XQ-R|1
48|Part NumberDNP|0.60000|CRYSTAL 16.0000MHZ 10PF SMD|X100|XTAL_ABM11-16|XTAL_ABM11-16|Abracon LLC|ABM11-16.000MHZ-B7G-T|1
